Timestamp,Dishwasher [kW],Fridge [kW], other devices [kW],Microwave [kW],Total power consumption
01-01-2016 05:00,0.000017,0.062075,0.000283,0.002033,0.064408
01-01-2016 05:10,0,0.062,0.000283,0.002033,0.064316
01-01-2016 05:20,0.000008,0.061767,0.0003,0.002033,0.064108
01-01-2016 05:30,0.000008,0.061567,0.000325,0.002033,0.063933
01-01-2016 05:40,0.000067,0.061425,0.000392,0.002033,0.063917
01-01-2016 05:50,0.000142,0.06115,0.000525,0.002033,0.06385
01-01-2016 06:00,0.000142,0.061025,0.000533,0.002058,0.063758
01-01-2016 06:10,0.000125,0.0609,0.000467,0.0021,0.063592
01-01-2016 06:20,0.000092,0.060808,0.000383,0.0021,0.063383
01-01-2016 06:30,0.000008,0.060817,0.000208,0.0021,0.063133
01-01-2016 06:40,0.000025,0.060725,0.000233,0.0021,0.063083
01-01-2016 06:50,0.000017,0.060625,0.000217,0.0021,0.062959
01-01-2016 07:00,0.000025,0.060517,0.000225,0.002108,0.062875
01-01-2016 07:10,0,0.017508,0.000417,0.002108,0.020033
01-01-2016 07:20,0.000008,0.002392,0.000483,0.002117,0.005
01-01-2016 07:30,0,0.002458,0.000442,0.002108,0.005008
01-01-2016 07:40,0.000008,0.002492,0.000417,0.002117,0.005034
01-01-2016 07:50,0,0.002475,0.000417,0.002125,0.005017
01-01-2016 08:00,0,0.002475,0.000425,0.002117,0.005017
01-01-2016 08:10,0.000008,0.002475,0.000417,0.002117,0.005017
01-01-2016 08:20,0,0.002475,0.000425,0.002117,0.005017
01-01-2016 08:30,0.000008,0.002475,0.000425,0.002108,0.005016
01-01-2016 08:40,0,0.002492,0.000408,0.002117,0.005017
01-01-2016 08:50,0.000008,0.002508,0.000383,0.002108,0.005007
01-01-2016 09:00,0.000008,0.0026,0.000375,0.0021,0.005083
01-01-2016 09:10,0.000008,0.002775,0.000383,0.002083,0.005249
01-01-2016 09:20,0.000033,0.002458,0.000417,0.005033,0.007941
01-01-2016 09:30,0.000042,0.002283,0.000492,0.520383,0.5232
01-01-2016 09:40,0.00005,0.002375,0.000467,0.002192,0.005084
01-01-2016 09:50,0.000125,0.002283,0.00065,0.00225,0.005308
01-01-2016 10:00,0.000108,0.002467,0.000642,0.00225,0.005467
01-01-2016 10:10,0.000008,0.002408,0.000442,0.00225,0.005108
01-01-2016 10:20,0,0.002408,0.000458,0.002258,0.005124
01-01-2016 10:30,0.000008,0.002408,0.00045,0.00225,0.005116
01-01-2016 10:40,0.000008,0.002408,0.00045,0.002267,0.005133
01-01-2016 10:50,0,0.002608,0.000458,0.002258,0.005324
01-01-2016 11:00,0.000008,0.002408,0.000458,0.002258,0.005132
01-01-2016 11:10,0,0.002442,0.000417,0.00225,0.005109
01-01-2016 11:20,0.000008,0.002492,0.000342,0.002225,0.005067
01-01-2016 11:30,0.000033,0.002558,0.000283,0.002225,0.005099
01-01-2016 11:40,0.000025,0.002775,0.000292,0.002242,0.005334
01-01-2016 11:50,0.000025,0.002567,0.000325,0.002192,0.005109
01-01-2016 12:00,0.000017,0.002567,0.0003,0.002242,0.005126
01-01-2016 12:10,0.000008,0.0204,0.000292,0.00225,0.02295
01-01-2016 12:20,0.000008,0.0025,0.0004,0.00215,0.005058
01-01-2016 12:30,0,0.0025,0.000392,0.00215,0.005042
01-01-2016 12:40,0.000017,0.002475,0.000417,0.002158,0.005067
01-01-2016 12:50,0.000067,0.002383,0.000508,0.002125,0.005083
01-01-2016 13:00,0.000133,0.002325,0.000592,0.002133,0.005183
01-01-2016 13:10,0.000133,0.002342,0.0006,0.002133,0.005208
01-01-2016 13:20,0.000117,0.002358,0.000592,0.002117,0.005184
01-01-2016 13:30,0.000017,0.0025,0.000417,0.002108,0.005042
01-01-2016 13:40,0.000008,0.002567,0.000358,0.002117,0.00505
01-01-2016 13:50,0.000017,0.021108,0.000375,0.002117,0.023617
01-01-2016 14:00,0.000033,0.083533,0.000317,0.0021,0.085983
01-01-2016 14:10,0.000033,0.083367,0.00035,0.002108,0.085858
01-01-2016 14:20,0.000033,0.0111,0.000425,0.002117,0.013675
01-01-2016 14:30,0.000025,0.004375,0.0004,0.0021,0.0069
01-01-2016 14:40,0.000017,0.002583,0.000358,0.002117,0.005075
01-01-2016 14:50,0.000008,0.0025,0.000408,0.002117,0.005033
01-01-2016 15:00,0.000008,0.002508,0.0004,0.002117,0.005033
01-01-2016 15:10,0.000008,0.002483,0.000408,0.002117,0.005016
01-01-2016 15:20,0.000008,0.057083,0.00025,0.002117,0.059458
01-01-2016 15:30,0.000025,0.07035,0.000225,0.002125,0.072725
01-01-2016 15:40,0.000133,0.068758,0.000425,0.002117,0.071433
01-01-2016 15:50,0.000125,0.070275,0.000417,0.002108,0.072925
01-01-2016 16:00,0.000142,0.068108,0.000433,0.002108,0.070791
01-01-2016 16:10,0.000025,0.068142,0.000292,0.002117,0.070576
01-01-2016 16:20,0,0.067858,0.000258,0.002125,0.070241
01-01-2016 16:30,0,0.067733,0.00025,0.002125,0.070108
01-01-2016 16:40,0.000033,0.067575,0.0003,0.0021,0.070008
01-01-2016 16:50,0.000033,0.067383,0.000342,0.0021,0.069858
01-01-2016 17:00,0.000033,0.06715,0.000325,0.002092,0.0696
01-01-2016 17:10,0.000017,0.065225,0.0003,0.0021,0.067642
01-01-2016 17:20,0.000033,0.064075,0.000192,0.002092,0.066392
01-01-2016 17:30,0.000117,0.063333,0.000367,0.002092,0.065909
01-01-2016 17:40,0.000125,0.062842,0.000383,0.0021,0.06545
01-01-2016 17:50,0.000125,0.06265,0.000392,0.0021,0.065267
01-01-2016 18:00,0.000133,0.062467,0.000392,0.002108,0.0651
01-01-2016 18:10,0.000125,0.062142,0.000392,0.002117,0.064776
01-01-2016 18:20,0.000125,0.061892,0.000375,0.002092,0.064484
01-01-2016 18:30,0.000108,0.061717,0.000375,0.0021,0.0643
01-01-2016 18:40,0.000008,0.061875,0.000225,0.002117,0.064225
01-01-2016 18:50,0,0.061742,0.000217,0.002117,0.064076
01-01-2016 19:00,0,0.0615,0.000233,0.002108,0.063841
01-01-2016 19:10,0,0.061367,0.000258,0.002117,0.063742
01-01-2016 19:20,0.000008,0.061183,0.000283,0.002108,0.063582
01-01-2016 19:30,0.000033,0.06135,0.00035,0.002108,0.063841
01-01-2016 19:40,0.000025,0.0612,0.000317,0.0021,0.063642
01-01-2016 19:50,0.000025,0.060967,0.000325,0.002108,0.063425
01-01-2016 20:00,0.000025,0.060833,0.0003,0.002108,0.063266
01-01-2016 20:10,0.000008,0.060642,0.000267,0.002108,0.063025
01-01-2016 20:20,0.000083,0.060625,0.00035,0.002117,0.063175
01-01-2016 20:30,0.000125,0.018217,0.000533,0.002125,0.021
01-01-2016 20:40,0.000117,0.002367,0.000583,0.002117,0.005184
01-01-2016 20:50,0.000042,0.002475,0.000458,0.002133,0.005108
01-01-2016 21:00,0,0.002533,0.0004,0.002125,0.005058
01-01-2016 21:10,0.000008,0.002717,0.0004,0.002125,0.00525
01-01-2016 21:20,0,0.00255,0.000392,0.002125,0.005067
01-01-2016 21:30,0.000008,0.002508,0.000417,0.002133,0.005066
01-01-2016 21:40,0.00005,0.002458,0.000475,0.002125,0.005108
01-01-2016 21:50,0.000125,0.002342,0.000608,0.002117,0.005192
01-01-2016 22:00,0.000125,0.002542,0.000583,0.002108,0.005358
01-01-2016 22:10,0.000117,0.002392,0.000567,0.002125,0.005201
01-01-2016 22:20,0.000058,0.002467,0.000433,0.002108,0.005066
01-01-2016 22:30,0.000033,0.002525,0.000375,0.002117,0.00505
01-01-2016 22:40,0.000025,0.002508,0.000358,0.0021,0.004991
01-01-2016 22:50,0.000025,0.002725,0.00035,0.002108,0.005208
01-01-2016 23:00,0.000025,0.002517,0.000375,0.002108,0.005025
01-01-2016 23:10,0.000017,0.002642,0.000383,0.002108,0.00515
01-01-2016 23:20,0,0.002533,0.000383,0.002125,0.005041
01-01-2016 23:30,0,0.002542,0.000392,0.002125,0.005059
01-01-2016 23:40,0,0.002733,0.000392,0.002117,0.005242
01-01-2016 23:50,0.000008,0.002533,0.0004,0.002133,0.005074
02-01-2016 00:00,0,0.002533,0.0004,0.002125,0.005058
02-01-2016 00:10,0.000017,0.00255,0.000375,0.002092,0.005034
02-01-2016 00:20,0.000017,0.04125,0.000283,0.002042,0.043592
02-01-2016 00:30,0.000117,0.085442,0.000283,0.002042,0.087884
02-01-2016 00:40,0.000108,0.074775,0.000308,0.002042,0.077233
02-01-2016 00:50,0.000108,0.00525,0.000533,0.00205,0.007941
02-01-2016 01:00,0.000017,0.003808,0.000367,0.002042,0.006234
02-01-2016 01:10,0.000008,0.002608,0.000367,0.00205,0.005033
02-01-2016 01:20,0.000033,0.002908,0.000408,0.002042,0.005391
02-01-2016 01:30,0.00005,0.002725,0.000417,0.002033,0.005225
02-01-2016 01:40,0.000033,0.002708,0.000425,0.00205,0.005216
02-01-2016 01:50,0.000025,0.002667,0.000392,0.002042,0.005126
02-01-2016 02:00,0.000008,0.002567,0.000358,0.002058,0.004991
02-01-2016 02:10,0,0.002767,0.000367,0.002067,0.005201
02-01-2016 02:20,0.000008,0.002542,0.000383,0.002067,0.005
02-01-2016 02:30,0.000033,0.002525,0.000425,0.002133,0.005116
02-01-2016 02:40,0.000108,0.002408,0.000542,0.002133,0.005191
02-01-2016 02:50,0.000108,0.002425,0.000542,0.002133,0.005208
